DATE,PITGVG01JPM661N
2006-08-01,104.7
2006-09-01,104.9
2006-10-01,105.0
2006-11-01,104.8
2006-12-01,104.7
2007-01-01,104.7
2007-02-01,104.7
2007-03-01,104.3
2007-04-01,104.5
2007-05-01,104.5
2007-06-01,104.5
2007-07-01,104.7
2007-08-01,104.0
2007-09-01,103.9
2007-10-01,104.0
2007-11-01,103.5
2007-12-01,103.5
2008-01-01,103.4
2008-02-01,103.4
2008-03-01,103.1
2008-04-01,103.3
2008-05-01,103.1
2008-06-01,103.2
2008-07-01,103.7
2008-08-01,103.8
2008-09-01,103.7
2008-10-01,103.3
2008-11-01,102.9
2008-12-01,102.2
2009-01-01,101.8
2009-02-01,101.6
2009-03-01,101.8
2009-04-01,101.7
2009-05-01,101.4
2009-06-01,101.5
2009-07-01,101.0
2009-08-01,100.7
2009-09-01,100.4
2009-10-01,100.3
2009-11-01,100.4
2009-12-01,100.5
2010-01-01,101.0
2010-02-01,100.6
2010-03-01,100.4
2010-04-01,100.0
2010-05-01,99.7
2010-06-01,100.0
2010-07-01,99.3
2010-08-01,99.1
2010-09-01,98.7
2010-10-01,98.5
2010-11-01,98.2
2010-12-01,98.4
2011-01-01,97.9
2011-02-01,97.5
2011-03-01,97.4
2011-04-01,97.3
2011-05-01,97.0
2011-06-01,97.2
2011-07-01,97.1
2011-08-01,97.1
2011-09-01,97.0
2011-10-01,96.9
2011-11-01,96.7
2011-12-01,96.5
2012-01-01,97.0
2012-02-01,97.0
2012-03-01,97.7
2012-04-01,97.6
2012-05-01,97.3
2012-06-01,96.7
2012-07-01,96.0
2012-08-01,96.0
2012-09-01,96.0
2012-10-01,96.5
2012-11-01,96.5
2012-12-01,97.1
2013-01-01,97.3
2013-02-01,97.5
2013-03-01,98.1
2013-04-01,98.1
2013-05-01,97.9
2013-06-01,97.8
2013-07-01,97.8
2013-08-01,97.6
2013-09-01,98.2
2013-10-01,97.8
2013-11-01,98.5
2013-12-01,98.6
2014-01-01,98.8
2014-02-01,98.3
2014-03-01,98.5
2014-04-01,98.3
2014-05-01,98.4
2014-06-01,98.4
2014-07-01,98.2
2014-08-01,98.5
2014-09-01,99.0
2014-10-01,99.2
2014-11-01,100.1
2014-12-01,100.4
2015-01-01,100.1
2015-02-01,100.2
2015-03-01,100.0
2015-04-01,100.0
2015-05-01,100.1
2015-06-01,100.3
2015-07-01,100.2
2015-08-01,100.0
2015-09-01,99.8
2015-10-01,99.6
2015-11-01,100.1
2015-12-01,99.6
2016-01-01,99.0
2016-02-01,98.7
2016-03-01,98.6
2016-04-01,98.3
2016-05-01,98.0
2016-06-01,97.7
2016-07-01,97.5
2016-08-01,96.9
2016-09-01,97.0
2016-10-01,97.0
2016-11-01,97.5
2016-12-01,98.4
2017-01-01,98.1
2017-02-01,97.7
2017-03-01,97.8
2017-04-01,97.9
2017-05-01,97.7
2017-06-01,97.6
2017-07-01,98.2
2017-08-01,97.9
2017-09-01,97.9
2017-10-01,98.4
2017-11-01,98.4
2017-12-01,98.5
2018-01-01,97.8
2018-02-01,97.4
2018-03-01,97.4
2018-04-01,97.7
2018-05-01,98.0
2018-06-01,98.0
2018-07-01,98.0
2018-08-01,98.0
2018-09-01,97.8
2018-10-01,98.3
2018-11-01,98.4
2018-12-01,97.9
2019-01-01,97.7
2019-02-01,98.1
2019-03-01,97.8
2019-04-01,97.9
2019-05-01,97.6
2019-06-01,97.4
2019-07-01,97.1
2019-08-01,97.0
2019-09-01,97.1
2019-10-01,97.4
2019-11-01,97.3
2019-12-01,97.1
2020-01-01,97.4
2020-02-01,97.2
2020-03-01,96.9
2020-04-01,96.9
2020-05-01,96.9
2020-06-01,97.0
2020-07-01,96.9
2020-08-01,96.8
2020-09-01,96.7
2020-10-01,96.6
2020-11-01,96.5
2020-12-01,96.5
2021-01-01,96.6
2021-02-01,96.7
2021-03-01,97.3
2021-04-01,97.4
2021-05-01,98.1
2021-06-01,98.1
2021-07-01,98.3
2021-08-01,98.7
2021-09-01,98.7
2021-10-01,99.6
2021-11-01,100.1
2021-12-01,100.2
2022-01-01,100.5
2022-02-01,100.5
2022-03-01,101.3
2022-04-01,102.5
